id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,slug,release_year,decade,genre_primary,genre_count,rating_10,composite_score,popularity_log,platform_primary
19625,Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,93,4.29,165,165,3,Action,"macOS, Linux, PC",Mature,unreal-tournament-2004-editors-choice-edition,2004,2000s,Action,1,8.58,90.1,5.112,macOS
35374,Unreal Tournament 2004,2004-03-16,93,4.33,160,160,3,"Action, Shooter","macOS, Linux, PC",Mature,unreal-tournament-2004,2004,2000s,Action,2,8.66,90.4,5.081,macOS
25178,Paper Mario (2000),2000-08-11,93,4.39,153,155,5,RPG,Nintendo 64,Everyone,paper-mario,2000,2000s,RPG,1,8.78,90.9,5.037,Nintendo 64
25449,Okami,2006-04-20,93,4.39,134,139,1,"Action, Adventure","Wii, PlayStation 2, PC",Teen,okami,2006,2000s,Action,2,8.78,90.9,4.905,Wii
52996,Gran Turismo 2,1999-12-11,93,4.4,114,115,0,Racing,"PlayStation, Dreamcast",Everyone,gran-turismo-2,1999,1990s,Racing,1,8.8,91.0,4.745,PlayStation
58209,Dwarf Fortress,2006-08-08,93,4.33,94,95,3,"RPG, Strategy, Simulation, Indie","Linux, PC, macOS",Not Rated,dwarf-fortress,2006,2000s,RPG,4,8.66,90.4,4.554,Linux
30813,Maniac Mansion: Day of the Tentacle,1993-06-25,93,4.32,81,81,6,"Adventure, Puzzle","PC, macOS",Everyone,maniac-mansion-day-of-the-tentacle,1993,1990s,Adventure,2,8.64,90.4,4.407,PC
53392,Mario Kart: Super Circuit (2001),2001-07-21,93,3.8,63,64,1,Racing,Game Boy Advance,Everyone,mario-kart-super-circuit,2001,2000s,Racing,1,7.6,86.2,4.159,Game Boy Advance
29742,Homeworld,1999-09-01,93,4.33,61,63,0,Strategy,PC,Not Rated,homeworld,1999,1990s,Strategy,1,8.66,90.4,4.127,PC
54744,Skies of Arcadia,2000-10-05,93,4.22,49,50,0,RPG,"GameCube, Dreamcast",Teen,skies-of-arcadia,2000,2000s,RPG,1,8.44,89.6,3.912,GameCube
53562,SSX 3,2003-10-21,93,4.39,41,41,0,"Sports, Racing","Xbox, PlayStation 2, Xbox One, Xbox 360, GameCube",Everyone,ssx-3,2003,2000s,Sports,2,8.78,90.9,3.738,Xbox
387230,Pro Evolution Soccer 2,2002-04-25,93,4.23,13,13,0,"Simulation, Sports","PlayStation, PlayStation 2",Everyone,pro-evolution-soccer-2,2002,2000s,Simulation,2,8.46,89.6,2.639,PlayStation
359109,SSX (2000),2000-10-26,93,0.0,5,5,0,Action,PlayStation 2,Everyone,ssx-2000,2000,2000s,Action,1,0.0,55.8,1.792,PlayStation 2
3498,Grand Theft Auto V,2013-09-17,92,4.47,7352,7479,74,Action,"PlayStation 5, Xbox Series S/X, PlayStation 3, PC, PlayStation 4, Xbox 360, Xbox One",Mature,grand-theft-auto-v,2013,2010s,Action,1,8.94,91.0,8.903,PlayStation 5
3328,The Witcher 3: Wild Hunt,2015-05-18,92,4.64,7170,7289,43,"Action, RPG","PlayStation 5, Xbox Series S/X, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One",Mature,the-witcher-3-wild-hunt,2015,2010s,Action,2,9.28,92.3,8.878,PlayStation 5
11859,Team Fortress 2,2007-10-10,92,3.68,2935,2964,8,"Action, Shooter","Linux, macOS, PC",Mature,team-fortress-2,2007,2000s,Action,2,7.36,84.6,7.985,Linux
23027,The Walking Dead: Season 1,2012-04-23,92,4.36,2483,2507,8,"Action, Adventure","Android, PS Vita, macOS, PC, iOS, PlayStation 4, PlayStation 3, Xbox 360, Nintendo Switch, Xbox One",Mature,the-walking-dead,2012,2010s,Action,2,8.72,90.1,7.818,Android
3254,Journey,2012-03-13,92,4.32,2461,2481,2,"Adventure, Family, Indie","PC, iOS, PlayStation 4, PlayStation 3",Not Rated,journey,2012,2010s,Adventure,3,8.64,89.8,7.809,PC
3387,Bloodborne,2015-03-24,92,4.41,2452,2489,12,"Action, RPG",PlayStation 4,Mature,bloodborne,2015,2010s,Action,2,8.82,90.5,7.805,PlayStation 4
5703,Uncharted 3: Drake's Deception,2011-11-01,92,4.37,1951,1968,12,Action,"PlayStation 4, PlayStation 3",Teen,uncharted-3-drakes-deception,2011,2010s,Action,1,8.74,90.2,7.577,PlayStation 4
13627,Undertale,2015-09-14,92,4.35,1885,1918,5,"RPG, Indie","Xbox Series S/X, Nintendo Switch, Xbox One, PC, macOS, Linux, PlayStation 4, PS Vita",Everyone 10+,undertale,2015,2010s,RPG,2,8.7,90.0,7.542,Xbox Series S/X
4535,Call of Duty 4: Modern Warfare,2007-11-05,92,4.39,1842,1861,6,"Action, Shooter","PlayStation 4, PlayStation 3, Xbox 360, Wii, PC, Nintendo DS, Xbox One, macOS",Mature,modern-warfare,2007,2000s,Action,2,8.78,90.3,7.519,PlayStation 4
30445,Warcraft 3: Reign of Chaos,2002-07-03,92,4.45,1413,1422,0,Strategy,"PC, macOS",Teen,warcraft-3-reign-of-chaos,2002,2000s,Strategy,1,8.9,90.8,7.254,PC
5161,Braid,2008-08-06,92,4.16,1000,1008,2,"Action, Arcade, Indie, Puzzle, Platformer","PlayStation 3, Xbox One, iOS, PC, macOS, Linux, Xbox 360",Everyone 10+,braid,2008,2000s,Action,5,8.32,88.5,6.909,PlayStation 3
23165,Mario Kart 8 Deluxe,2017-04-27,92,4.45,904,919,0,Racing,Nintendo Switch,Everyone,mario-kart-8-deluxe,2017,2010s,Racing,1,8.9,90.8,6.808,Nintendo Switch
257255,The Witcher 3 Wild Hunt - Complete Edition,2016-08-30,92,4.8,796,815,0,"Adventure, RPG","Xbox One, Xbox Series S/X, PC, Nintendo Switch, PlayStation 4, PlayStation 5",Mature,the-witcher-3-game-of-the-year,2016,2010s,Adventure,2,9.6,93.6,6.681,Xbox One
24899,Super Mario World,1990-11-21,92,4.36,780,788,6,"Arcade, Platformer",SNES,Everyone,super-mario-world,1990,1990s,Arcade,2,8.72,90.1,6.661,SNES
39039,God of War III,2010-03-16,92,4.4,749,758,10,Action,PlayStation 3,Mature,god-of-war-iii,2010,2010s,Action,1,8.8,90.4,6.62,PlayStation 3
43252,The Witcher 3: Wild Hunt – Blood and Wine,2016-05-30,92,4.81,627,637,0,RPG,"PlayStation 4, PC, Xbox One",Mature,the-witcher-3-wild-hunt-blood-and-wine,2016,2010s,RPG,1,9.62,93.7,6.443,PlayStation 4
20709,Tom Clancy's Splinter Cell Chaos Theory,2005-03-21,92,4.38,488,488,2,"Action, Adventure","PC, Nintendo DS, PlayStation 3, Xbox 360, Nintendo 3DS, PlayStation 2, Xbox, GameCube, Xbox One",Mature,splinter-cell-chaos-theory,2005,2000s,Action,2,8.76,90.2,6.192,PC
32595,Age of Empires II: Age of Kings,1999-09-30,92,4.39,450,453,0,Strategy,"PC, PlayStation 2",Not Rated,age-of-empires-ii-age-of-kings,1999,1990s,Strategy,1,8.78,90.3,6.111,PC
10615,System Shock 2,1999-08-11,92,4.14,413,418,2,"Action, Shooter, RPG","PC, macOS, Linux",Mature,system-shock-2,1999,1990s,Action,3,8.28,88.3,6.026,PC
1063,FINAL FANTASY VI,1994-04-02,92,4.37,399,405,4,RPG,"SNES, Android, PC, iOS, Game Boy Advance",Not Rated,final-fantasy-vi,1994,1990s,RPG,1,8.74,90.2,5.991,SNES
41128,Final Fantasy X,2001-07-19,92,4.38,398,401,0,RPG,PlayStation 2,Teen,final-fantasy-10,2001,2000s,RPG,1,8.76,90.2,5.989,PlayStation 2
56222,Super Smash Bros. Melee,2001-11-21,92,4.36,374,377,0,"Action, Fighting",GameCube,Everyone 10+,super-smash-bros-melee-2001,2001,2000s,Action,2,8.72,90.1,5.927,GameCube
