id,name,released,metacritic,rating,ratings_count,reviews_count,playtime_hours,genres,platforms,esrb_rating,background_image,slug
30813,Maniac Mansion: Day of the Tentacle,1993-06-25,93,4.32,81,81,6,"Adventure, Puzzle","PC, macOS",Everyone,https://media.rawg.io/media/screenshots/f6b/f6b30c8c391dfe473a4f8cd58358f91d.jpg,maniac-mansion-day-of-the-tentacle
29742,Homeworld,1999-09-01,93,4.33,61,63,0,Strategy,PC,,https://media.rawg.io/media/screenshots/ff8/ff8088234acae0fb0d01c82a6089c0c9.jpg,homeworld
28619,Gears of War 2,2008-11-07,93,4.28,716,721,22,Shooter,"Xbox 360, Xbox One",Mature,https://media.rawg.io/media/games/51b/51ba5f9b280c6fec71c293fe276e24ec.jpg,gears-of-war-2
27974,Super Mario 3D World,2013-11-21,93,4.37,237,244,58,"Action, Platformer","Nintendo Switch, Wii U",Everyone,https://media.rawg.io/media/games/cb7/cb78e5b2ada0e38cafb14cd00cfafbd7.jpg,super-mario-3d-world
26824,The Legend of Zelda: Skyward Sword,2011-11-20,93,4.15,285,294,33,Adventure,"Wii U, Wii, Nintendo Switch",Everyone 10+,https://media.rawg.io/media/games/884/884d12f527a9a12b5e486ee1b79ecf7f.jpeg,the-legend-of-zelda-skyward-sword
25449,Okami,2006-04-20,93,4.39,134,139,1,"Action, Adventure","Wii, PlayStation 2, PC",Teen,https://media.rawg.io/media/games/922/92244532ff3c3f277824c0cf8941f187.jpg,okami
25414,Super Smash Bros. Brawl,2008-03-09,93,4.31,312,318,24,"Action, Casual, Fighting",Wii,Teen,https://media.rawg.io/media/games/a00/a00c19dae42d87ca31d903d26761d335.jpg,super-smash-bros-brawl
25178,Paper Mario (2000),2000-08-11,93,4.39,153,155,5,RPG,Nintendo 64,Everyone,https://media.rawg.io/media/screenshots/062/0622bec29ae3ef0e8762a9c9f3e7b0f4.jpg,paper-mario
23599,World of Warcraft,2004-11-23,93,4.31,685,692,129,"RPG, Massively Multiplayer","PC, macOS",Teen,https://media.rawg.io/media/games/0d9/0d930ea604ee240c5af30c58f73ddf48.jpg,world-of-warcraft
22510,StarCraft II,2010-07-27,93,4.38,811,816,0,Strategy,"PC, macOS",Teen,https://media.rawg.io/media/games/960/9605c08bf8535c00adbb0a3896f0c484.jpg,starcraft-2
19625,Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,93,4.29,165,165,3,Action,"macOS, Linux, PC",Mature,https://media.rawg.io/media/games/c02/c027f7cf3d558f9072b2c27a3955f256.jpg,unreal-tournament-2004-editors-choice-edition
18183,Company of Heroes,2006-09-11,93,3.68,564,570,7,Strategy,"PC, iOS",,https://media.rawg.io/media/games/0fa/0fadc446fd1e9ae9e23a32793d9a5406.jpg,company-of-heroes
2462,Uncharted 4: A Thief’s End,2016-05-10,93,4.48,3728,3766,0,"Action, Shooter","PlayStation 5, PlayStation 4",Teen,https://media.rawg.io/media/games/709/709bf81f874ce5d25d625b37b014cb63.jpg,uncharted-4-a-thiefs-end
949,Cut the Rope,2010-10-04,93,3.78,199,200,1,"Arcade, Casual, Indie, Puzzle","Android, Nintendo DS, Nintendo 3DS, Nintendo DSi, iOS, PC",,https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg,cut-the-rope
432,Grand Theft Auto III,2001-10-22,93,4.15,1642,1659,1,"Action, Shooter","macOS, PC, iOS, Android, PlayStation 4, PlayStation 2, Xbox",Mature,https://media.rawg.io/media/games/5fa/5fae5fec3c943179e09da67a4427d68f.jpg,grand-theft-auto-iii
416,Grand Theft Auto: San Andreas,2004-10-26,93,4.5,4049,4078,2,Action,"macOS, PC, iOS, Xbox, Android, PlayStation 4, PlayStation 3, PlayStation 2, Xbox 360, Xbox One",Mature,https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg,grand-theft-auto-san-andreas
49,Persona 5,2016-09-15,93,4.34,1440,1463,105,"Action, Adventure, RPG","PlayStation 3, PlayStation 4",Mature,https://media.rawg.io/media/games/3ea/3ea0e57ede873970c0f1130e30d88749.jpg,persona-5
452648,Demon's Souls (2020),2020-11-12,92,4.43,222,235,0,"Action, RPG",PlayStation 5,Mature,https://media.rawg.io/media/games/cc4/cc4a56d9e4c2a230293e335000469453.jpg,demons-souls-remake
425200,A Monster's Expedition,2020-09-10,92,3.93,27,27,2,"Adventure, Strategy, Casual, Indie, Puzzle","PC, macOS",,https://media.rawg.io/media/screenshots/731/7315a49d2039ded23bd10047880970ec.jpg,a-monsters-expedition
400295,Soul Calibur II,2002-07-05,92,4.23,71,71,0,Fighting,"Xbox, GameCube, PlayStation 2",Teen,https://media.rawg.io/media/screenshots/570/570a6ed91febd5f3ffc889368e13a46e.jpg,soulcalibur-ii
328001,Soul Caliber 2,2002-07-05,92,0.0,3,3,0,Fighting,"Xbox, PlayStation 2, GameCube, PlayStation 3, Xbox 360",Teen,,soul-caliber-2
316819,Forza Motorsport (2005),2005-05-03,92,3.71,16,17,27,"Racing, Casual","PC, Xbox",,https://media.rawg.io/media/games/ae9/ae9e6138ec47798de07b158a36dadd19.jpeg,forza-motorsport
301511,Final Fantasy XII,2006-03-16,92,4.21,130,131,0,RPG,PlayStation 2,Teen,https://media.rawg.io/media/games/6f9/6f932bffab5e38f540e10bb026621b08.jpg,final-fantasy-xii
257255,The Witcher 3 Wild Hunt - Complete Edition,2016-08-30,92,4.8,796,815,0,"Adventure, RPG","Xbox One, Xbox Series S/X, PC, Nintendo Switch, PlayStation 4, PlayStation 5",Mature,https://media.rawg.io/media/games/52b/52be96c19be0d79eeb8664e4ca2aabd5.jpg,the-witcher-3-game-of-the-year
57954,Vagrant Story (2000),2000-02-10,92,4.3,63,64,0,"Action, Adventure, RPG",PlayStation,Teen,https://media.rawg.io/media/games/cdc/cdc039b06d3adddbf0499f72d6e59169.jpg,vagrant-story
57944,Tony Hawk's Pro Skater,1999-08-31,92,4.37,129,131,0,Sports,"PlayStation, Game Boy Color, Nintendo 64, Dreamcast",Teen,https://media.rawg.io/media/screenshots/fd2/fd22fcd8470c96a6cf30051c3d249a6b.jpg,tony-hawks-pro-skater
57669,PaRappa the Rapper,1996-12-06,92,4.21,39,39,0,"Action, Arcade","PlayStation, PSP",Everyone,https://media.rawg.io/media/games/985/9852f17322124be2aa0be1307b1b75a1.jpg,parappa-the-rapper
56222,Super Smash Bros. Melee,2001-11-21,92,4.36,374,377,0,"Action, Fighting",GameCube,Everyone 10+,https://media.rawg.io/media/games/b78/b780abf866cba1422d01bfa75612dd29.jpg,super-smash-bros-melee-2001
56124,Metroid Prime 2: Echoes,2004-11-15,92,4.41,86,88,0,"Action, Adventure","Wii, GameCube",,https://media.rawg.io/media/games/852/85222e407cba4c699ae7e6f4742b8b1a.jpg,metroid-prime-2-echoes
56041,Eternal Darkness: Sanity's Requiem,2002-06-23,92,4.34,44,44,0,"Action, Adventure",GameCube,Mature,https://media.rawg.io/media/screenshots/e21/e215d37a773be35ddda535490ccce1c0.jpg,eternal-darkness
54556,Wave Race 64: Kawasaki Jet Ski,1996-09-27,92,4.08,38,38,0,Racing,Nintendo 64,Everyone,https://media.rawg.io/media/games/e2b/e2bab181cb77e118dd5d11824a1c84d0.jpg,wave-race-64
